Parametro,Unidad,Etapa,Planta,Valor
Capacidad de procesamiento,tRFF∙h-1,General,Planta A,30
Fruto procesado ,tRFF∙año-1,General,Planta A,153157
Horas de operación,h∙año-1,General,Planta A,5105
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta A,20.71
Aceite crudo producido,tACP∙año-1,General,Planta A,31719
PKO producido,tPKO∙año-1,General,Planta A,7636
Humedad PKO,%,General,Planta A,6.38
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta A,6371
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta A,212.36666666666667
Deshidratación del fruto ,%,Esterilización,Planta A,11.8
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta A,4170
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta A,139
Vapor evaporador, ,Esterilización,Planta A,4922.866666666667
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta A,164.09555555555556
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta A,24.3
Humedad raquis,%,Desfrutado,Planta A,64.3
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta A,63.9
Humedad MPD,%,Desfrutado,Planta A,28.7
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta A,2832
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta A,11866
Aceite crudo en LP,%,Digestión y prensado,Planta A,53
Agua en LP,%,Digestión y prensado,Planta A,14
Residuos orgánicos en LP,%,Digestión y prensado,Planta A,33
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta A,18073
Humedad de mesocarpio,%,Digestión y prensado,Planta A,35.2
Nueces,tNuez∙año-1,Digestión y prensado,Planta A,16825
Humedad de nueces,%,Digestión y prensado,Planta A,11.93
Agua de dilución,kgagua∙h-1,Clarificación,Planta A,4512
Temperatura LP,°C,Clarificación,Planta A,80
Temperatura aceite clarificado,°C,Clarificación,Planta A,70
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta A,5477
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta A,701
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta A,13733
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta A,3784
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta A,736
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta A,16780
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta A,1514
Temperatura despacho,°C,Almacenamiento,Planta A,50
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta A,1615
Temperatura aire de secado,°C,Flujo de aire de secado,Planta A,50
Humedad de secado,%,Flujo de aire de secado,Planta A,7.2
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta A,9189
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta A,7636
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta A,30631
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta A,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta A,5129.1
Fibra en caldera,%,Caldera,Planta A,49
Cuesco en caldera,%,Caldera,Planta A,79
Flujo de vapor,kgvapor∙h-1,Caldera,Planta A,71984
Presión de vapor,bar,Caldera,Planta A, 3
Temperatura de vapor,°C,Caldera,Planta A, 300
Temperatura agua de alimentación,°C,Caldera,Planta A,90
Capacidad de procesamiento,tRFF∙h-1,General,Planta B,40
Fruto procesado ,tRFF∙año-1,General,Planta B,206207
Horas de operación,h∙año-1,General,Planta B,5155
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta B,20.55
Aceite crudo producido,tACP∙año-1,General,Planta B,42376
PKO producido,tPKO∙año-1,General,Planta B,10292
Humedad PKO,%,General,Planta B,7.24
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta B,8060
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta B,201.5
Deshidratación del fruto ,%,Esterilización,Planta B,11.12
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta B,5386
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta B,134.65
Vapor evaporador, ,Esterilización,Planta B,6065.05
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta B,151.62625
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta B,22.5
Humedad raquis,%,Desfrutado,Planta B,62.5
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta B,66.38
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta B,3524
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta B,15972
Aceite crudo en LP,%,Digestión y prensado,Planta B,54
Agua en LP,%,Digestión y prensado,Planta B,16
Residuos orgánicos en LP,%,Digestión y prensado,Planta B,31
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta B,25776
Humedad de mesocarpio,%,Digestión y prensado,Planta B,33.1
Nueces,tNuez∙año-1,Digestión y prensado,Planta B,18788
Humedad de nueces,%,Digestión y prensado,Planta B,10.82
Agua de dilución,kgagua∙h-1,Clarificación,Planta B,6124
Temperatura LP,°C,Clarificación,Planta B,80
Temperatura aceite clarificado,°C,Clarificación,Planta B,72
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta B,7342
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta B,1122
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta B,18278
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta B,5328
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta B,878
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta B,22727
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta B,1701
Temperatura despacho,°C,Almacenamiento,Planta B,52
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta B,2157
Temperatura aire de secado,°C,Flujo de aire de secado,Planta B,55
Humedad de secado,%,Flujo de aire de secado,Planta B,7.5
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta B,8496
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta B,10292
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta B,117538
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta B,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta B,7679
Fibra en caldera,%,Caldera,Planta B,84
Cuesco en caldera,%,Caldera,Planta B,100
Flujo de vapor,kgvapor∙h-1,Caldera,Planta B,101041
Presión de vapor,bar,Caldera,Planta B,1.5
Temperatura de vapor,°C,Caldera,Planta B,240
Temperatura agua de alimentación,°C,Caldera,Planta B,95
Capacidad de procesamiento,tRFF∙h-1,General,Planta C,30
Fruto procesado ,tRFF∙año-1,General,Planta C,177589
Horas de operación,h∙año-1,General,Planta C,5920
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta C,19.68
Aceite crudo producido,tACP∙año-1,General,Planta C,34950
PKO producido,tPKO∙año-1,General,Planta C,7926
Humedad PKO,%,General,Planta C,6.78
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta C,7036
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta C,234.53333333333333
Deshidratación del fruto ,%,Esterilización,Planta C,12.06
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta C,4348
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta C,144.93333333333334
Vapor evaporador, ,Esterilización,Planta C,4588.25
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta C,152.94166666666666
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta C,22.9
Humedad raquis,%,Desfrutado,Planta C,66.7
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta C,65.04
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta C,2537
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta C,11799
Aceite crudo en LP,%,Digestión y prensado,Planta C,53
Agua en LP,%,Digestión y prensado,Planta C,17
Residuos orgánicos en LP,%,Digestión y prensado,Planta C,30
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta C,24862
Humedad de mesocarpio,%,Digestión y prensado,Planta C,38.4
Nueces,tNuez∙año-1,Digestión y prensado,Planta C,15918
Humedad de nueces,%,Digestión y prensado,Planta C,13.36
Agua de dilución,kgagua∙h-1,Clarificación,Planta C,4459
Temperatura LP,°C,Clarificación,Planta C,80
Temperatura aceite clarificado,°C,Clarificación,Planta C,70
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta C,5250
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta C,535
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta C,13546
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta C,3703
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta C,654
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta C,16595
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta C,1427
Temperatura despacho,°C,Almacenamiento,Planta C,55
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta C,1556
Temperatura aire de secado,°C,Flujo de aire de secado,Planta C,60
Humedad de secado,%,Flujo de aire de secado,Planta C,7.6
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta C,7992
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta C,7926
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta C,63932
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta C,92
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta C,5585.4
Fibra en caldera,%,Caldera,Planta C,70
Cuesco en caldera,%,Caldera,Planta C,82
Flujo de vapor,kgvapor∙h-1,Caldera,Planta C,149175
Presión de vapor,bar,Caldera,Planta C,2 
Temperatura de vapor,°C,Caldera,Planta C,180 
Temperatura agua de alimentación,°C,Caldera,Planta C,90
Capacidad de procesamiento,tRFF∙h-1,General,Planta D,24
Fruto procesado ,tRFF∙año-1,General,Planta D,131909
Horas de operación,h∙año-1,General,Planta D,5496
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta D,19.9
Aceite crudo producido,tACP∙año-1,General,Planta D,26250
PKO producido,tPKO∙año-1,General,Planta D,5576
Humedad PKO,%,General,Planta D,4.5
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta D,5292
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta D,220.5
Deshidratación del fruto ,%,Esterilización,Planta D,10.32
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta D,3304
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta D,137.66666666666666
Vapor evaporador, ,Esterilización,Planta D,3681.7533333333336
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta D,153.4063888888889
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta D,18.6
Humedad raquis,%,Desfrutado,Planta D,58.9
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta D,71.08
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta D,2606
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta D,9589
Aceite crudo en LP,%,Digestión y prensado,Planta D,50
Agua en LP,%,Digestión y prensado,Planta D,15
Residuos orgánicos en LP,%,Digestión y prensado,Planta D,35
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta D,15829
Humedad de mesocarpio,%,Digestión y prensado,Planta D,35.3
Nueces,tNuez∙año-1,Digestión y prensado,Planta D,13095
Humedad de nueces,%,Digestión y prensado,Planta D,12.29
Agua de dilución,kgagua∙h-1,Clarificación,Planta D,3425
Temperatura LP,°C,Clarificación,Planta D,80
Temperatura aceite clarificado,°C,Clarificación,Planta D,72
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta D,4125
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta D,683
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta D,11495
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta D,3180
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta D,651
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta D,14024
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta D,1127
Temperatura despacho,°C,Almacenamiento,Planta D,52
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta D,1220
Temperatura aire de secado,°C,Flujo de aire de secado,Planta D,50
Humedad de secado,%,Flujo de aire de secado,Planta D,7.1
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta D,7519
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta D,5576
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta D,36935
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta D,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta D,4220.9
Fibra en caldera,%,Caldera,Planta D,86
Cuesco en caldera,%,Caldera,Planta D,55
Flujo de vapor,kgvapor∙h-1,Caldera,Planta D,55402
Presión de vapor,bar,Caldera,Planta D,1.5
Temperatura de vapor,°C,Caldera,Planta D,160
Temperatura agua de alimentación,°C,Caldera,Planta D,95
Capacidad de procesamiento,tRFF∙h-1,General,Planta E,24
Fruto procesado ,tRFF∙año-1,General,Planta E,75534
Horas de operación,h∙año-1,General,Planta E,3147
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta E,20.77
Aceite crudo producido,tACP∙año-1,General,Planta E,15688
PKO producido,tPKO∙año-1,General,Planta E,2803
Humedad PKO,%,General,Planta E,6.74
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta E,5153
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,214.70833333333334
Deshidratación del fruto ,%,Esterilización,Planta E,12.32
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta E,3317
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,138.20833333333334
Vapor evaporador, ,Esterilización,Planta E,3675.42
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta E,153.1425
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta E,24.34
Humedad raquis,%,Desfrutado,Planta E,59.7
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta E,63.34
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta E,2113
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta E,9513
Aceite crudo en LP,%,Digestión y prensado,Planta E,54
Agua en LP,%,Digestión y prensado,Planta E,17
Residuos orgánicos en LP,%,Digestión y prensado,Planta E,29
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta E,9444
Humedad de mesocarpio,%,Digestión y prensado,Planta E,36.6
Nueces,tNuez∙año-1,Digestión y prensado,Planta E,6247
Humedad de nueces,%,Digestión y prensado,Planta E,14.33
Agua de dilución,kgagua∙h-1,Clarificación,Planta E,3668
