Etapa,Planta,Tipo_energia,Valor_kW
Recepción,Planta A,Electrica,1.0
Recepción,Planta B,Electrica,0.17
Recepción,Planta D,Electrica,0.5041006439241801
Recepción,Planta E,Electrica,0.2
Recepción,Planta F,Electrica,0.4333709915703485
Esterilización,Planta A,Electrica,0.08
Esterilización,Planta A,Termica,4866.736111111111
Esterilización,Planta B,Electrica,0.12
Esterilización,Planta B,Termica,6156.944444444444
Esterilización,Planta C,Electrica,0.41
Esterilización,Planta C,Termica,4588.25
Esterilización,Planta D,Electrica,0.22445357138229918
Esterilización,Planta D,Termica,3681.7533333333336
Esterilización,Planta E,Electrica,0.3
Esterilización,Planta E,Termica,4559.849999999999
Esterilización,Planta F,Electrica,0.19296080646562963
Esterilización,Planta F,Termica,3101.3888888888887
Desfrutado,Planta A,Electrica,0.7
Desfrutado,Planta B,Electrica,0.8
Desfrutado,Planta C,Electrica,0.61
Desfrutado,Planta D,Electrica,0.6733607141468976
Desfrutado,Planta E,Electrica,0.6
Desfrutado,Planta F,Electrica,0.5788824193968888
Prensado raquis,Planta A,Electrica,1.17
Prensado raquis,Planta B,Electrica,1.22
Prensado raquis,Planta D,Electrica,1.3191246777140042
Prensado raquis,Planta E,Electrica,1.1
Digestión prensado,Planta A,Electrica,3.35
Digestión prensado,Planta A,Termica,2163.3333333333335
Digestión prensado,Planta B,Electrica,2.95
Digestión prensado,Planta B,Termica,2691.944444444445
Digestión prensado,Planta C,Electrica,4.77
Digestión prensado,Planta C,Termica,1937.9861111111113
Digestión prensado,Planta D,Electrica,4.558983195781454
Digestión prensado,Planta D,Termica,1990.6944444444446
Digestión prensado,Planta E,Electrica,5.45
Digestión prensado,Planta E,Termica,1614.0972222222224
Digestión prensado,Planta F,Electrica,3.919318675588772
Digestión prensado,Planta F,Termica,1379.5833333333335
Clarificación,Planta A,Electrica,2.45
Clarificación,Planta A,Termica,535.0
Clarificación,Planta B,Electrica,2.35
Clarificación,Planta B,Termica,857.0833333333334
Clarificación,Planta C,Electrica,1.8199999999999998
Clarificación,Planta C,Termica,408.68055555555554
Clarificación,Planta D,Electrica,2.9749297125014578
Clarificación,Planta D,Termica,521.7361111111111
Clarificación,Planta E,Electrica,4.16
Clarificación,Planta E,Termica,391.875
Clarificación,Planta F,Electrica,2.5575215086469107
Clarificación,Planta F,Termica,311.6666666666667
Palmistería,Planta A,Electrica,5.62
Palmistería,Planta A,Termica,1233.6805555555557
Palmistería,Planta B,Electrica,3.95
Palmistería,Planta B,Termica,1647.7083333333335
Palmistería,Planta C,Electrica,5.89
Palmistería,Planta C,Termica,1188.6111111111113
Palmistería,Planta D,Electrica,5.403443763523056
Palmistería,Planta D,Termica,931.9444444444446
Palmistería,Planta E,Electrica,4.12
Palmistería,Planta E,Termica,982.3611111111112
Palmistería,Planta F,Electrica,4.645294168766838
Palmistería,Planta F,Termica,757.7777777777778
Almacenamiento,Planta A,Electrica,0.02
Almacenamiento,Planta A,Termica,1156.5277777777778
Almacenamiento,Planta B,Electrica,0.02
Almacenamiento,Planta B,Termica,1299.375
Almacenamiento,Planta C,Electrica,0.02
Almacenamiento,Planta C,Termica,1090.0694444444443
Almacenamiento,Planta D,Electrica,0.02207740046383271
Almacenamiento,Planta D,Termica,860.9027777777778
Almacenamiento,Planta E,Electrica,0.02
Almacenamiento,Planta E,Termica,840.2777777777778
Almacenamiento,Planta F,Electrica,0.018979751455635702
Almacenamiento,Planta F,Termica,711.9444444444445
Extracción palmiste,Planta A,Electrica,5.24
Extracción palmiste,Planta C,Electrica,5.75
Extracción palmiste,Planta E,Electrica,8.658
Extracción palmiste,Planta F,Electrica,0.0
Calentamiento de agua,Planta A,Termica,1672.127906976744
Calentamiento de agua,Planta B,Termica,2301.018087855297
Calentamiento de agua,Planta C,Termica,2986.201550387597
Calentamiento de agua,Planta D,Termica,1193.3209302325583
Calentamiento de agua,Planta E,Termica,1935.2325581395348
Calentamiento de agua,Planta F,Electrica,0.0
Calentamiento de agua,Planta F,Termica,1174.1860465116279
Caldera,Planta A,Electrica,5.19
Caldera,Planta A,Termica,303.0
Caldera,Planta B,Electrica,2.95
Caldera,Planta B,Termica,303.0
Caldera,Planta C,Electrica,2.3
Caldera,Planta C,Termica,303.0
Caldera,Planta D,Electrica,4.426518792998458
Caldera,Planta D,Termica,303.0
Caldera,Planta E,Electrica,5.6
Caldera,Planta E,Termica,303.0
Caldera,Planta F,Electrica,3.8054401668549573
Caldera,Planta F,Termica,303.0
Planta tratamiento agua,Planta A,Electrica,0.93
Planta tratamiento agua,Planta B,Electrica,1.91
Planta tratamiento agua,Planta C,Electrica,0.05
Planta tratamiento agua,Planta D,Electrica,1.063394789007942
Planta tratamiento agua,Planta F,Electrica,0.9141913617797861
