punto,planta,horas,cap_turbina_kW,cap_biogas_kW,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
0,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
0,Planta B,5155,750.0,7000.0,34435037.281312495,3261052.999999995,31173984.2813125,3261053.0,27912931.2813125
0,Planta C,5920,750.003969625405,5000.0,29915044.45516478,3823550.4,26091494.05516475,3823550.4,22267943.655164752
0,Planta D,5496,750.0,4000.0,24021522.619581487,2622443.776535662,21399078.843045823,2622443.776535662,18776635.066510163
0,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
0,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
1,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
1,Planta B,5155,750.0,7000.0,34435037.281312495,3261052.999999995,31173984.2813125,3261053.0,27912931.2813125
1,Planta C,5920,1000.0,5000.0,31097246.72326608,3823550.4,27273696.323266078,3823550.4,23450145.92326608
1,Planta D,5496,750.0,4000.0,24021522.619581487,2622443.776535662,21399078.843045823,2622443.776535662,18776635.066510163
1,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
1,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
2,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
2,Planta B,5155,750.0,7000.0,34435037.281312495,3261052.999999995,31173984.2813125,3261053.0,27912931.2813125
2,Planta C,5920,1000.0,5000.0,31097246.72326608,3823550.4,27273696.323266078,3823550.4,23450145.92326608
2,Planta D,5496,1000.0,4000.0,25119071.07158149,2622443.776535662,22496627.295045827,2622443.776535662,19874183.518510163
2,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
2,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
3,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
3,Planta B,5155,750.0,7000.0,34435037.281312495,3261052.999999995,31173984.2813125,3261053.0,27912931.2813125
3,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
3,Planta D,5496,1000.0,5000.0,25343153.498288907,2622443.7765356563,22720709.72175326,2622443.776535662,20098265.945217595
3,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
3,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
4,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
4,Planta B,5155,1250.0,7000.0,36493939.126312494,3261052.999999995,33232886.1263125,3261053.0,29971833.126312498
4,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
4,Planta D,5496,750.0,5000.0,24245605.046288908,2622443.776535662,21623161.269753255,2622443.776535662,19000717.493217595
