punto,epsilon_GWh,f1_beneficio_USD,f2_generacion_GWh,factor_util_promedio,factor_util_biogas_promedio,capacidad_turbina_total_MW,capacidad_biogas_total_MW
0,66.96325505930508,7028978.551638946,66.96325505930508,0.04648197000444893,1.0,1.8,17.0
1,81.08860028135064,6842432.525022711,97.68102341464349,0.20579112429377955,1.0,8.5,17.0
2,95.2139455033962,6842432.525022711,97.68102341464349,0.20579112429377955,1.0,8.5,17.0
3,109.33929072544176,6569031.651382053,133.2688785603305,0.3668664733820604,1.0,17.2,17.0
4,123.46463594748732,6569031.651382055,133.2688785603305,0.3668664733820604,1.0,17.2,17.0
5,137.5899811695329,6287207.5432590125,138.5371111299305,0.40560902292538104,1.0,18.4,17.0
6,151.71532639157843,6181368.154133151,153.90278945793048,0.5186081257600665,1.0,21.9,17.0
7,165.840671613624,5891255.156511023,165.8587985229305,0.55416120449623,1.0,25.1,17.0
8,179.96601683566956,5785415.767385162,181.22447685093047,0.6671603073309155,1.0,28.6,17.0
9,194.09136205771514,4830673.866569028,195.55323549513048,0.8015565378475874,1.0,34.3,17.0
10,208.2167072797607,3137349.330646322,208.2167072797607,1.0,1.0,43.0,17.0
