punto,epsilon_GWh,f1_beneficio_USD,f2_generacion_GWh,factor_util_promedio,factor_util_biogas_promedio,capacidad_turbina_total_MW,capacidad_biogas_total_MW
0,136.16546091849636,6088222.148498489,136.16546091849634,0.6248444011358337,0.9923423710483109,4.500003969625405,29.0
1,137.30221841985005,6017236.873146433,137.34766318659766,0.6587112374856119,0.9923423710483109,4.75,29.0
2,138.43897592120376,5944301.83405829,138.44521163859767,0.6976306027421052,0.9923423710483109,5.0,29.0
3,139.57573342255745,5847027.351900462,139.7583053034829,0.72882777295704,0.9941247956637321,5.25,30.0
4,140.71249092391116,5782044.317753658,140.7196586964829,0.7428008707467977,0.9941247956637321,5.5,30.0
5,141.84924842526485,5687070.8658741,141.92423350922505,0.7692471022699232,0.9993022504853576,5.75,31.0
6,142.9860059266185,5615602.520031918,143.56395908727546,0.8314029734799254,0.9923423710483109,6.25,29.0
7,144.12276342797222,5542667.480943775,144.6615075392755,0.8703223387364188,0.9923423710483109,6.5,29.0
8,145.2595209293259,5462544.202601068,145.2899618657755,0.905873654975586,0.9923423710483109,6.75,29.0
9,146.39627843067962,5251563.801086946,146.43257391520376,0.938324334213498,0.9993022504853576,7.25,31.0
10,147.5330359320333,4975962.1631584,147.5330359320333,1.0,1.0,8.0,32.0
