punto,generacion_GWh,excedente_GWh,capex_total_MUSD,lcoe_USD_kWh,emisiones_evitadas_tCO2,viviendas_rurales,f1_beneficio_USD,beneficio_neto_total_USD
0,136.16546091849634,119.37280095919729,48.24099627803968,0.05047090636690072,19505.515676732837,344786.4702556142,6088222.148498489,3427931.6589556504
1,137.34766318659766,120.55500322729863,48.882893640411055,0.05070227278893196,19698.687527340593,348201.0449650253,6017236.873146433,3356946.383603595
2,138.44521163859767,121.65255167929864,49.52479100278243,0.050960831795414475,19878.026944397396,351371.11263252475,5944301.83405829,3284011.344515452
3,139.7583053034829,122.96564534418388,50.41949747847918,0.051394031119705204,20092.586449239647,355163.7431663893,5847027.351900462,3186736.862357624
4,140.7196586964829,123.92699873718388,50.99956303223673,0.051630160849145304,20249.671593655847,357940.43635258696,5782044.317753658,3121753.8282108195
5,141.92423350922502,125.13157354992603,51.8493229092921,0.05204491793776852,20446.49911805791,361419.6300592517,5687070.8658741,3026780.3763312614
6,143.56395908727546,126.77129912797646,52.44200398154263,0.05203860535072887,20714.43027751135,366155.67704567616,5615602.520031918,2955312.0304890797
7,144.6615075392755,127.86884757997646,53.08390134391401,0.05227591496558727,20893.76969456815,369325.7447131756,5542667.480943775,2882376.9914009366
8,145.2899618657755,128.49730190647645,53.72579870628538,0.05267918737134488,20996.45913151825,371140.9199223496,5462544.202601068,2802253.7130582295
9,146.43257391520376,129.63991395590477,55.43556584254537,0.05393151057739352,21183.161940394843,374441.14553679747,5251563.801086946,2591273.311544108
10,147.5330359320333,130.74037597273428,57.50728863572967,0.055529710406737,21362.97743394478,377619.62850263406,4975962.1631584,2315671.673615562
