Area,Total_USD_ref,Valor_especifico,Unidad_especifico,Total_USD_2026,Valor_especifico_2026
Recepción,182701.90000000002,12180.126666666669,USD por capacidad de procesamiento de RFF,262789.99213168724,17519.33280877915
Esterilización convencional,584219.1470588236,38947.94313725491,USD por capacidad de procesamiento de RFF,840313.8941563786,56020.92627709191
Esterilización continua,576007.0339491435,38400.4689299429,USD por capacidad de procesamiento de RFF,828501.9691601013,55233.46461067342
Prensado de raquis,111769.17647058824,7451.278431372549,USD por capacidad de procesamiento de RFF,160763.63193415635,10717.575462277091
Desfrutado ,133276.0517647059,8885.07011764706,USD por capacidad de procesamiento de RFF,191698.13009382715,12779.875339588476
Extracción (digestión y prensado),258389.81058823527,17225.987372549018,USD por capacidad de procesamiento de RFF,371655.9942255143,24777.066281700954
Clarificación dinamica,350515.5882352941,23367.70588235294,USD por capacidad de procesamiento de RFF,504165.46666666656,33611.03111111111
Clarificación estatica,280446.41176470584,18696.42745098039,USD por capacidad de procesamiento de RFF,403381.19275720156,26892.079517146773
Almacenamiento,201415.29411764705,13427.686274509802,USD por capacidad de procesamiento de RFF,289706.47572016454,19313.76504801097
Palmisteria,553487.3137254902,36899.154248366016,USD por capacidad de procesamiento de RFF,796110.6415363512,53074.042769090076
Caldera media presión,1141062.1960784313,76070.81307189542,USD por tonelada de vapor instalada,1641251.2706721534,109416.75137814356
Turbina Contrapresiòn,2814.681132075472,20802.0,USD por kW instaldo,4048.5076102181843,29920.638024691354
Redes e infraestructura,107297.0,7153.133333333333,USD por capacidad de procesamiento de RFF,154331.05942386828,10288.737294924553
Turbina Extracción condensación,,3669.0,USD por kW instaldo,,5277.32049382716
Sistema gases de combustión,,11515.0,USD por tonelada de vapor instalada,,16562.64526748971
Biodigestor y motor de combustión interna,,2758.0,USD por kW instalado,,3966.980082304526
Limpieza metano,,125.0,USD por Kw instaldo,,179.79423868312756
Pretratamiento mecanico,,29655.0,USD por tonelada vapor,,42654.38518518518
Pretratamiento termico,,,,,
