punto,planta,horas,cap_turbina_kW,cap_biogas_kW,factor_utilizacion,factor_util_biogas,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
0,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
0,Planta B,5155,300.0,4000.0,0.033547905470315,1.0,17108380.869846,4157052.6470588217,12951328.222787188,0.0,12951328.222787188
0,Planta C,5920,300.035934594694,3000.0,0.0441503620485209,1.0,14222819.651927643,4591242.070588239,9631577.581339415,0.0,9631577.581339415
0,Planta D,5496,300.0,3000.0,0.0581138243149811,1.0,14087398.40117568,3050517.053155117,11036881.34802058,0.0,11036881.34802058
0,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
0,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
1,Planta A,5105,300.0,2000.0,0.0399095413175414,1.0,10205599.873896,4516564.66764706,5689035.206248915,0.0,5689035.206248915
1,Planta B,5155,300.0,4000.0,0.033547905470315,1.0,17108380.869846,4157052.6470588217,12951328.222787188,0.0,12951328.222787188
1,Planta C,5920,4000.0,3000.0,0.588600990186883,1.0,31719521.113391995,4591242.070588239,27128279.042803783,0.0,27128279.042803783
1,Planta D,5496,300.0,3000.0,0.0581138243149811,1.0,14087398.40117568,3050517.053155117,11036881.34802058,0.0,11036881.34802058
1,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
1,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
2,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
2,Planta B,5155,300.0,4000.0,0.033547905470315,1.0,17108380.869846,4157052.6470588217,12951328.222787188,0.0,12951328.222787188
2,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
2,Planta D,5496,300.0,3000.0,0.0581138243149811,1.0,14087398.40117568,3050517.053155117,11036881.34802058,0.0,11036881.34802058
2,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
2,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
3,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
3,Planta B,5155,300.0,4000.0,0.033547905470315,1.0,17108380.869846,4157052.6470588217,12951328.222787188,0.0,12951328.222787188
3,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
3,Planta D,5496,3000.0,3000.0,0.581138243149811,1.0,25940921.68277568,3050517.053155117,22890404.629620582,0.0,22890404.629620582
3,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
3,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
4,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
4,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
4,Planta C,5920,5000.0,3000.0,0.735751237733603,1.0,36448405.273392,4591242.070588239,31857163.202803783,0.0,31857163.202803783
4,Planta D,5496,300.0,3000.0,0.0581138243149811,1.0,14087398.40117568,3050517.053155117,11036881.34802058,0.0,11036881.34802058
4,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
4,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
5,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
5,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
5,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
5,Planta D,5496,1500.0,3000.0,0.290569121574905,1.0,19355630.97077568,3050517.053155117,16305113.917620579,0.0,16305113.917620579
5,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
5,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
6,Planta A,5105,300.0,2000.0,0.0399095413175415,1.0,10205599.873896,4516564.66764706,5689035.206248965,0.0,5689035.206248965
6,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
6,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
6,Planta D,5496,5000.0,3000.0,0.968563738583018,1.0,34721309.29877567,3050517.053155117,31670792.24562058,0.0,31670792.24562058
6,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
6,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
7,Planta A,5105,7000.0,2000.0,0.931222630742635,1.0,37527287.266896,4516564.66764706,33010722.599248912,0.0,33010722.599248912
7,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
7,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
7,Planta D,5496,1500.0,3000.0,0.290569121574905,1.0,19355630.97077568,3050517.053155117,16305113.917620579,0.0,16305113.917620579
7,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
7,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
8,Planta A,5105,7000.0,2000.0,0.931222630742635,1.0,37527287.266896,4516564.66764706,33010722.599248912,0.0,33010722.599248912
