punto,epsilon_GWh,f1_beneficio_USD,f2_generacion_GWh,factor_util_promedio,factor_util_biogas_promedio,capacidad_turbina_total_MW,capacidad_biogas_total_MW
0,66.96342498984072,4304222.250976754,66.96342498984072,0.046482851301866385,1.0,1.8000359345946941,17.0
1,81.08875321883272,3631718.2855502586,84.46012645130507,0.13722462265826005,1.0,5.5,17.0
2,95.21408144782471,3463630.6745785717,97.68102341464349,0.20579112429377955,1.0,8.5,17.0
3,109.33940967681671,2861383.0354864188,109.5345466962435,0.29296186076625125,1.0,11.2,17.0
4,123.46473790580872,2542889.918302319,124.77686575699207,0.3228250130043276,1.0,15.2,17.0
5,137.5900661348007,2058085.6367566227,138.5371111299305,0.40560902292538104,1.0,18.4,17.0
6,151.7153943637927,1672393.0477277986,153.90278945793048,0.5186081257600665,1.0,21.9,17.0
7,165.84072259278472,1104065.8153820997,165.8587985229305,0.55416120449623,1.0,25.1,17.0
8,179.9660508217767,718373.2263532765,181.22447685093047,0.6671603073309155,1.0,28.6,17.0
9,194.09137905076867,-536980.0660993382,195.14767151207303,0.7894411466682585,1.0,34.3,17.0
10,208.2167072797607,-2486228.6947329463,208.2167072797607,1.0,1.0,43.0,17.0
