punto,generacion_GWh,excedente_GWh,capex_total_MUSD,lcoe_USD_kWh,emisiones_evitadas_tCO2,viviendas_rurales,f1_beneficio_USD,beneficio_neto_total_USD,pct_cobertura_rural,viviendas_rurales_techo,pct_demanda_departamental,pct_cobertura_rural_techo
0,66.96342498984072,47.02941349645411,49.12233948781246,0.1487994327616056,7684.606165320602,135835.84658599598,4304222.250976754,258703.3167468952,155.21258579687824,87516.0,1.935366810553667,100.0
1,84.46012645130507,64.52611495791844,58.68380635925713,0.12956107832645183,10543.567184123873,186371.86391607887,3631718.2855502586,-413800.64867960056,212.9574751086417,87516.0,2.6553956772805942,100.0
2,97.68102341464349,77.74701192125688,63.52152151598559,0.116393568016655,12703.861747933375,224558.0031452382,3463630.6745785717,-581888.2596512875,256.5907984199897,87516.0,3.1994655111628347,100.0
3,109.5345466962435,89.60053520285689,71.16091087134457,0.11314169762772898,14640.727452146813,258794.73395423178,2861383.0354864188,-1184135.8987434404,295.711337303158,87516.0,3.687264823162835,100.0
4,124.77686575699207,104.84285426360549,77.58046901256566,0.1054157155758089,17131.32238667314,302819.38065127714,2542889.918302319,-1502629.0159275401,346.0160206719653,87516.0,4.314520751588703,100.0
5,138.5371111299305,118.6030996365439,84.84944588643368,0.10191656255344056,19379.746480611273,342563.3289700256,2058085.6367566227,-1987433.2974732365,391.42937173776863,87516.0,4.8807859932734114,100.0
6,153.90278945793048,133.9687779645439,91.97965104073879,0.09780925655260722,21890.498319406473,386944.27631501725,1672393.0477277986,-2373125.8865020606,442.141181401135,87516.0,5.513118434754894,100.0
7,165.85879852293047,145.9247870295438,99.24862791460684,0.09689184805212255,23844.110200627456,421477.0185372131,1104065.8153820997,-2941453.1188477594,481.59995719321387,87516.0,6.005135268705507,100.0
8,181.22447685093047,161.29046535754384,106.37883306891193,0.09395898641090793,26354.86203942266,465857.96588220476,718373.2263532765,-3327145.7078765826,532.3117668565803,87516.0,6.637467710186989,100.0
9,195.14767151207303,175.21366001868645,119.09211362759105,0.09682931010599635,28629.912047053363,506072.56337278424,-536980.0660993382,-4582499.000329197,578.2629043521005,87516.0,7.210438683896562,100.0
10,208.2167072797607,188.28269578637403,136.5085226446611,0.10328592775343276,30765.392491493516,543820.0793544657,-2486228.6947329463,-6531747.6289628055,621.3950355985942,87516.0,7.748259085859013,100.0
